CAS_1;CAS_2;CAS_3;CAS_4;CAS_5;CAS_6;CAS_7;CAS_8;CAS_9;CAS_10;CAS_11;CAS_12;CAS_13;CAS_14;CAS_15;CAS_16;CAS_17;CAS_18;CAS_19;CAS_20;CAS_21;CAS_22;PSW_1;PSW_2;PSW_3;PSW_4;PSW_5;PSW_6;PSW_7;PSW_8;PSW_9;PSW_10;PSW_11;PSW_12;PSW_13;PSW_14;PSW_15;PSW_16
3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;3;3;3;3;3;3;3;4;3;3
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2;1;1;1;1;1;1;1;2;3;1;2;3;2;2;3;5;4;3;2;1;2;1;2;1;1;2;1;4;3;1;1;2;1;1;1;1;2
3;2;2;1;1;1;1;1;1;1;1;1;1;1;1;2;3;5;5;5;3;4;4;1;4;2;2;1;1;4;1;3;5;1;2;1;1;2
4;3;3;4;3;4;2;3;3;4;3;4;3;1;2;2;4;5;5;5;3;3;1;4;1;4;5;5;3;1;4;1;3;2;4;4;4;4
3;3;1;3;1;1;1;1;3;1;2;2;3;1;1;2;3;5;5;5;5;4;1;5;1;4;4;5;4;1;3;1;2;3;4;4;4;4
2;2;2;1;3;1;1;3;2;2;1;3;1;3;3;2;4;5;5;5;5;5;1;5;1;5;5;4;5;2;4;1;2;4;5;4;5;3
1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;2;5;5;3;3;1;2;4;2;4;5;4;4;1;1;1;2;5;3;3;3;3
3;3;1;1;3;2;2;1;3;2;2;1;3;1;1;2;3;3;4;4;5;4;1;3;1;4;3;3;2;2;4;1;2;2;4;2;2;3
3;2;2;1;2;1;1;1;1;1;1;1;1;1;1;2;4;5;4;3;3;2;2;2;3;3;1;4;1;2;1;2;4;1;3;2;1;2
2;2;3;1;2;3;1;2;3;3;3;2;1;3;4;3;3;5;5;4;4;4;2;2;2;4;2;3;1;3;4;1;2;1;3;2;1;4
2;3;2;3;1;1;1;3;2;4;2;2;4;3;2;4;5;5;5;5;5;4;1;4;1;5;5;5;5;5;5;1;2;4;5;5;5;5
2;2;2;1;1;3;1;3;1;1;1;1;1;1;1;1;5;2;3;4;3;5;2;3;2;2;1;2;2;3;4;3;4;1;3;1;2;5
3;3;2;3;2;2;1;3;3;4;3;2;2;2;3;4;4;5;5;4;4;3;2;2;2;4;2;2;2;1;2;1;2;2;4;3;1;3
1;1;1;1;1;1;1;1;1;1;1;1;1;3;3;3;5;3;3;4;3;4;4;2;2;2;1;2;1;1;1;5;5;1;4;1;1;2
1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;4;4;4;4;4;3;1;4;1;4;4;4;3;2;4;1;4;4;4;3;3;4
2;2;1;1;1;1;1;2;1;3;1;1;1;1;1;3;3;5;5;5;5;2;2;3;2;2;3;2;1;1;1;1;1;2;2;1;2;2
3;4;2;3;3;2;1;2;1;1;1;1;1;3;3;1;3;4;5;4;5;1;2;5;1;5;5;5;5;3;5;1;2;5;5;4;5;4
4;3;2;1;4;3;3;2;3;3;3;3;4;3;3;2;3;5;5;5;5;4;1;3;1;2;4;4;3;1;3;1;3;3;4;3;2;3
3;2;2;1;4;2;1;3;1;5;4;5;3;1;1;1;5;5;5;5;4;4;2;2;2;3;3;4;2;3;1;2;1;3;4;3;1;4
4;4;3;3;2;3;2;1;1;2;1;1;2;2;2;1;3;5;5;5;5;4;3;3;2;3;3;3;2;2;2;1;4;2;3;3;2;2
1;1;1;1;1;1;5;1;1;1;1;1;1;5;5;1;1;5;5;5;1;1;5;2;2;2;1;2;1;4;1;3;4;1;3;2;1;1
3;3;1;2;3;4;1;1;2;2;2;2;3;2;3;3;3;4;4;4;3;2;4;2;4;2;2;1;1;4;1;3;4;1;3;1;1;1
